            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457025.083333333, A.D. 2015-Jan-02 14:00:00.0000,  8.567936983192359E+07, -6.767547235958320E+07, -5.866225821288429E+06,  2.153469389105891E+01,  2.732339507144906E+01, -8.681604565612133E-01,  3.647205219763450E+02,  1.093404617663315E+08,  9.586199398171100E-03,
2457025.125000000, A.D. 2015-Jan-02 15:00:00.0000,  8.575683798507962E+07, -6.757706321217254E+07, -5.869347308551222E+06,  2.150316417977155E+01,  2.734834744666350E+01, -8.659989400687671E-01,  3.647206347319704E+02,  1.093404955696175E+08,  9.193401973008915E-03,
2457025.166666667, A.D. 2015-Jan-02 16:00:00.0000,  8.583419257952836E+07, -6.747856430149911E+07, -5.872461012263183E+06,  2.147160572716868E+01,  2.737326354529956E+01, -8.638362621231241E-01,  3.647207427706924E+02,  1.093405279588116E+08,  8.800592812049332E-03,
2457025.208333333, A.D. 2015-Jan-02 17:00:00.0000,  8.591143351187475E+07, -6.737997575821765E+07, -5.875566928248137E+06,  2.144001857416622E+01,  2.739814333454933E+01, -8.616724255352022E-01,  3.647208460923733E+02,  1.093405589338723E+08,  8.407772387080655E-03,
2457025.250000000, A.D. 2015-Jan-02 18:00:00.0000,  8.598856067887102E+07, -6.728129771310094E+07, -5.878665052340038E+06,  2.140840276171667E+01,  2.742298678164978E+01, -8.595074331174342E-01,  3.647209446968805E+02,  1.093405884947598E+08,  8.014941169893729E-03,
2457025.291666667, A.D. 2015-Jan-02 19:00:00.0000,  8.606557397741696E+07, -6.718253029703963E+07, -5.881755380382963E+06,  2.137675833080912E+01,  2.744779385388279E+01, -8.573412876837381E-01,  3.647210385840872E+02,  1.093406166414363E+08,  7.622099632284675E-03,
2457025.333333333, A.D. 2015-Jan-02 20:00:00.0000,  8.614247330455993E+07, -6.708367364104204E+07, -5.884837908231117E+06,  2.134508532246919E+01,  2.747256451857518E+01, -8.551739920495240E-01,  3.647211277538723E+02,  1.093406433738654E+08,  7.229248246063879E-03,
2457025.375000000, A.D. 2015-Jan-02 21:00:00.0000,  8.621925855749509E+07, -6.698472787623408E+07, -5.887912631748859E+06,  2.131338377775899E+01,  2.749729874309878E+01, -8.530055490316979E-01,  3.647212122061205E+02,  1.093406686920124E+08,  6.836387483049744E-03,
2457025.416666667, A.D. 2015-Jan-02 22:00:00.0000,  8.629592963356547E+07, -6.688569313385902E+07, -5.890979546810675E+06,  2.128165373777708E+01,  2.752199649487043E+01, -8.508359614486363E-01,  3.647212919407218E+02,  1.093406925958446E+08,  6.443517815075793E-03,
2457025.458333333, A.D. 2015-Jan-02 23:00:00.0000,  8.637248643026212E+07, -6.678656954527736E+07, -5.894038649301194E+06,  2.124989524365840E+01,  2.754665774135208E+01, -8.486652321202275E-01,  3.647213669575723E+02,  1.093407150853306E+08,  6.050639713953608E-03,
